Running on host gpu015
Using 8 Julia threads
Starting at Sat Apr 11 10:20:59 CEST 2026
Loading Modules
Finished Loading Modules
Running sweep_node_retrain.jl
Iter 1/250 | loss=13860.97 | avg_time=50.747s/iter | elapsed=50.7s | ETA=12636.0s
Iter 10/250 | loss=9592.603 | avg_time=5.768s/iter | elapsed=57.7s | ETA=1384.4s
Iter 20/250 | loss=5854.3394 | avg_time=3.021s/iter | elapsed=60.4s | ETA=694.8s
Iter 30/250 | loss=3560.0212 | avg_time=2.102s/iter | elapsed=63.1s | ETA=462.5s
Iter 40/250 | loss=2600.7988 | avg_time=1.641s/iter | elapsed=65.7s | ETA=344.7s
Iter 50/250 | loss=1973.6652 | avg_time=1.368s/iter | elapsed=68.4s | ETA=273.7s
Iter 60/250 | loss=1513.3721 | avg_time=1.186s/iter | elapsed=71.2s | ETA=225.4s
Iter 70/250 | loss=1213.5409 | avg_time=1.054s/iter | elapsed=73.8s | ETA=189.8s
Iter 80/250 | loss=1002.64 | avg_time=0.955s/iter | elapsed=76.4s | ETA=162.4s
Iter 90/250 | loss=883.0796 | avg_time=0.881s/iter | elapsed=79.3s | ETA=141.0s
Iter 100/250 | loss=764.2592 | avg_time=0.821s/iter | elapsed=82.1s | ETA=123.2s
Iter 110/250 | loss=655.97076 | avg_time=0.771s/iter | elapsed=84.8s | ETA=107.9s
Iter 120/250 | loss=622.7106 | avg_time=0.731s/iter | elapsed=87.7s | ETA=95.0s
Iter 130/250 | loss=588.386 | avg_time=0.696s/iter | elapsed=90.5s | ETA=83.6s
Iter 140/250 | loss=522.18 | avg_time=0.665s/iter | elapsed=93.1s | ETA=73.2s
Iter 150/250 | loss=533.28577 | avg_time=0.639s/iter | elapsed=95.8s | ETA=63.9s
Iter 160/250 | loss=499.7027 | avg_time=0.618s/iter | elapsed=98.9s | ETA=55.6s
Iter 170/250 | loss=482.5547 | avg_time=0.599s/iter | elapsed=101.8s | ETA=47.9s
Iter 180/250 | loss=396.52786 | avg_time=0.58s/iter | elapsed=104.4s | ETA=40.6s
Iter 190/250 | loss=388.99857 | avg_time=0.564s/iter | elapsed=107.1s | ETA=33.8s
Iter 200/250 | loss=412.928 | avg_time=0.549s/iter | elapsed=109.7s | ETA=27.4s
Iter 210/250 | loss=402.00488 | avg_time=0.535s/iter | elapsed=112.3s | ETA=21.4s
Iter 220/250 | loss=360.0105 | avg_time=0.522s/iter | elapsed=114.8s | ETA=15.7s
Iter 230/250 | loss=351.35822 | avg_time=0.51s/iter | elapsed=117.4s | ETA=10.2s
Iter 240/250 | loss=399.4903 | avg_time=0.5s/iter | elapsed=120.0s | ETA=5.0s
Iter 250/250 | loss=361.95114 | avg_time=0.49s/iter | elapsed=122.5s | ETA=0.0s
Iter 250/250 | loss=340.55554 | avg_time=0.492s/iter | elapsed=122.9s | ETA=0.0s
Iter 1/50 | loss=6587.9736 | avg_time=0.453s/iter | elapsed=0.5s | ETA=22.2s
Iter 10/50 | loss=5327.303 | avg_time=0.511s/iter | elapsed=5.1s | ETA=20.4s
Iter 20/50 | loss=4901.8457 | avg_time=0.522s/iter | elapsed=10.4s | ETA=15.6s
Iter 30/50 | loss=4547.577 | avg_time=0.519s/iter | elapsed=15.6s | ETA=10.4s
Iter 40/50 | loss=4298.5947 | avg_time=0.514s/iter | elapsed=20.6s | ETA=5.1s
Iter 50/50 | loss=4088.455 | avg_time=0.51s/iter | elapsed=25.5s | ETA=0.0s
Iter 50/50 | loss=4088.455 | avg_time=0.52s/iter | elapsed=26.0s | ETA=0.0s
Iter 1/100 | loss=6587.9736 | avg_time=0.49s/iter | elapsed=0.5s | ETA=48.5s
Iter 10/100 | loss=5327.303 | avg_time=0.511s/iter | elapsed=5.1s | ETA=46.0s
Iter 20/100 | loss=4901.8457 | avg_time=0.51s/iter | elapsed=10.2s | ETA=40.8s
Iter 30/100 | loss=4547.577 | avg_time=0.508s/iter | elapsed=15.2s | ETA=35.5s
Iter 40/100 | loss=4298.5947 | avg_time=0.506s/iter | elapsed=20.3s | ETA=30.4s
Iter 50/100 | loss=4088.455 | avg_time=0.504s/iter | elapsed=25.2s | ETA=25.2s
