Running on host gpu011
Using 8 Julia threads
Starting at Thu Apr  2 10:27:30 CEST 2026
Loading Modules
Finished Loading Modules
Running Lux_AE_train.jl

Training AE for 1000 epochs with λdiv=1000.0, λcurl=100.0)
Epoch 32/1000 | time=1.401s | train_loss=1.254 | train_corr=(0.571, 0.224) | val_loss=1.2647 | val_corr=(0.564, 0.209) | test_loss=1.2611 | test_corr=(0.565, 0.215)
Epoch 33/1000 | time=1.406s | train_loss=1.2944 | train_corr=(0.559, 0.194) | val_loss=1.2778 | val_corr=(0.563, 0.207) | test_loss=1.2744 | test_corr=(0.565, 0.214)
Epoch 34/1000 | time=1.404s | train_loss=1.2555 | train_corr=(0.576, 0.211) | val_loss=1.2752 | val_corr=(0.565, 0.21) | test_loss=1.2718 | test_corr=(0.566, 0.216)
Epoch 35/1000 | time=1.405s | train_loss=1.3034 | train_corr=(0.571, 0.238) | val_loss=1.2931 | val_corr=(0.565, 0.211) | test_loss=1.2897 | test_corr=(0.566, 0.218)
Epoch 36/1000 | time=1.415s | train_loss=1.2924 | train_corr=(0.569, 0.206) | val_loss=1.2774 | val_corr=(0.562, 0.211) | test_loss=1.2741 | test_corr=(0.564, 0.217)
Epoch 37/1000 | time=1.415s | train_loss=1.2936 | train_corr=(0.563, 0.224) | val_loss=1.2665 | val_corr=(0.564, 0.213) | test_loss=1.2633 | test_corr=(0.565, 0.219)
Epoch 38/1000 | time=1.384s | train_loss=1.2737 | train_corr=(0.56, 0.21) | val_loss=1.2559 | val_corr=(0.567, 0.21) | test_loss=1.2525 | test_corr=(0.568, 0.217)
Epoch 39/1000 | time=1.418s | train_loss=1.2759 | train_corr=(0.558, 0.21) | val_loss=1.248 | val_corr=(0.566, 0.213) | test_loss=1.2447 | test_corr=(0.567, 0.219)
Epoch 40/1000 | time=1.39s | train_loss=1.2612 | train_corr=(0.577, 0.227) | val_loss=1.2473 | val_corr=(0.567, 0.211) | test_loss=1.2439 | test_corr=(0.568, 0.217)
Epoch 41/1000 | time=1.41s | train_loss=1.2714 | train_corr=(0.572, 0.221) | val_loss=1.2714 | val_corr=(0.566, 0.212) | test_loss=1.2682 | test_corr=(0.567, 0.218)
Epoch 42/1000 | time=1.388s | train_loss=1.2888 | train_corr=(0.576, 0.233) | val_loss=1.2767 | val_corr=(0.566, 0.213) | test_loss=1.2734 | test_corr=(0.567, 0.219)
Epoch 43/1000 | time=1.394s | train_loss=1.2823 | train_corr=(0.551, 0.18) | val_loss=1.2468 | val_corr=(0.567, 0.216) | test_loss=1.2435 | test_corr=(0.568, 0.222)
