Running on host gpu012
Using 8 Julia threads
Starting at Wed Apr  8 20:38:59 CEST 2026
Loading Modules
Finished Loading Modules
Running hpc_AENODE_train.jl

Training AE for 200 epochs with λdiv=1000.0, λcurl=100.0)
Epoch 1/200 | time=120.294s | train_loss=0.818 | train_corr=(0.365, 0.024) | val_loss=0.823 | val_corr=(0.368, 0.013) | test_loss=0.8218 | test_corr=(0.368, 0.018)
Epoch 2/200 | time=0.643s | train_loss=0.5951 | train_corr=(0.289, -0.008) | val_loss=0.5201 | val_corr=(0.4, 0.013) | test_loss=0.518 | test_corr=(0.405, 0.024)
Epoch 3/200 | time=0.636s | train_loss=0.4139 | train_corr=(0.458, -0.0) | val_loss=0.4109 | val_corr=(0.465, 0.013) | test_loss=0.4096 | test_corr=(0.473, 0.024)
Epoch 4/200 | time=0.658s | train_loss=0.3885 | train_corr=(0.542, -0.011) | val_loss=0.3837 | val_corr=(0.528, -0.014) | test_loss=0.3815 | test_corr=(0.529, -0.001)
Epoch 5/200 | time=0.652s | train_loss=0.3694 | train_corr=(0.544, 0.015) | val_loss=0.3702 | val_corr=(0.549, 0.024) | test_loss=0.3705 | test_corr=(0.547, 0.021)
Epoch 6/200 | time=0.659s | train_loss=0.3732 | train_corr=(0.545, 0.032) | val_loss=0.3669 | val_corr=(0.548, 0.028) | test_loss=0.3671 | test_corr=(0.547, 0.019)
Epoch 7/200 | time=0.65s | train_loss=0.3597 | train_corr=(0.567, 0.045) | val_loss=0.3645 | val_corr=(0.547, 0.035) | test_loss=0.3655 | test_corr=(0.544, 0.025)
Epoch 8/200 | time=0.641s | train_loss=0.3654 | train_corr=(0.552, -0.004) | val_loss=0.3619 | val_corr=(0.553, 0.036) | test_loss=0.3622 | test_corr=(0.552, 0.027)
Epoch 9/200 | time=0.658s | train_loss=0.3523 | train_corr=(0.572, 0.059) | val_loss=0.3608 | val_corr=(0.558, 0.042) | test_loss=0.3618 | test_corr=(0.554, 0.039)
Epoch 10/200 | time=0.655s | train_loss=0.3638 | train_corr=(0.552, -0.018) | val_loss=0.3585 | val_corr=(0.56, 0.047) | test_loss=0.3587 | test_corr=(0.555, 0.046)
Epoch 11/200 | time=0.641s | train_loss=0.3672 | train_corr=(0.559, 0.027) | val_loss=0.372 | val_corr=(0.549, 0.061) | test_loss=0.3701 | test_corr=(0.547, 0.058)
Epoch 12/200 | time=0.643s | train_loss=0.3584 | train_corr=(0.562, 0.098) | val_loss=0.3766 | val_corr=(0.552, 0.056) | test_loss=0.375 | test_corr=(0.551, 0.053)
Epoch 13/200 | time=0.631s | train_loss=0.3569 | train_corr=(0.583, 0.031) | val_loss=0.3576 | val_corr=(0.571, 0.052) | test_loss=0.3581 | test_corr=(0.566, 0.053)
Epoch 14/200 | time=0.631s | train_loss=0.3475 | train_corr=(0.597, 0.031) | val_loss=0.3551 | val_corr=(0.572, 0.064) | test_loss=0.3559 | test_corr=(0.567, 0.066)
Epoch 15/200 | time=0.644s | train_loss=0.3543 | train_corr=(0.567, 0.075) | val_loss=0.3554 | val_corr=(0.567, 0.082) | test_loss=0.3557 | test_corr=(0.564, 0.082)
Epoch 16/200 | time=0.637s | train_loss=0.3453 | train_corr=(0.582, 0.112) | val_loss=0.3514 | val_corr=(0.573, 0.088) | test_loss=0.3532 | test_corr=(0.567, 0.09)
Epoch 17/200 | time=0.649s | train_loss=0.3469 | train_corr=(0.577, 0.088) | val_loss=0.3482 | val_corr=(0.575, 0.099) | test_loss=0.3495 | test_corr=(0.569, 0.1)
Epoch 18/200 | time=0.645s | train_loss=0.3447 | train_corr=(0.58, 0.095) | val_loss=0.3468 | val_corr=(0.578, 0.113) | test_loss=0.3489 | test_corr=(0.571, 0.114)
Epoch 19/200 | time=0.644s | train_loss=0.3412 | train_corr=(0.584, 0.116) | val_loss=0.3472 | val_corr=(0.583, 0.115) | test_loss=0.3502 | test_corr=(0.575, 0.115)
Epoch 20/200 | time=0.63s | train_loss=0.3467 | train_corr=(0.587, 0.13) | val_loss=0.345 | val_corr=(0.587, 0.128) | test_loss=0.3457 | test_corr=(0.579, 0.128)
Epoch 21/200 | time=0.65s | train_loss=0.341 | train_corr=(0.593, 0.159) | val_loss=0.3422 | val_corr=(0.6, 0.126) | test_loss=0.3452 | test_corr=(0.59, 0.126)
Epoch 22/200 | time=0.64s | train_loss=0.3362 | train_corr=(0.615, 0.138) | val_loss=0.3373 | val_corr=(0.602, 0.146) | test_loss=0.3388 | test_corr=(0.593, 0.143)
Epoch 23/200 | time=0.646s | train_loss=0.3293 | train_corr=(0.618, 0.206) | val_loss=0.3317 | val_corr=(0.612, 0.177) | test_loss=0.3345 | test_corr=(0.602, 0.171)
Epoch 24/200 | time=0.637s | train_loss=0.3337 | train_corr=(0.616, 0.169) | val_loss=0.3293 | val_corr=(0.62, 0.195) | test_loss=0.3314 | test_corr=(0.609, 0.189)
Epoch 25/200 | time=0.64s | train_loss=0.32 | train_corr=(0.632, 0.199) | val_loss=0.3261 | val_corr=(0.629, 0.224) | test_loss=0.3302 | test_corr=(0.617, 0.223)
Epoch 26/200 | time=0.639s | train_loss=0.3238 | train_corr=(0.625, 0.246) | val_loss=0.3205 | val_corr=(0.633, 0.278) | test_loss=0.3237 | test_corr=(0.62, 0.276)
Epoch 27/200 | time=0.648s | train_loss=0.3163 | train_corr=(0.634, 0.314) | val_loss=0.3164 | val_corr=(0.65, 0.347) | test_loss=0.3182 | test_corr=(0.638, 0.336)
Epoch 28/200 | time=0.638s | train_loss=0.3148 | train_corr=(0.642, 0.356) | val_loss=0.3108 | val_corr=(0.656, 0.436) | test_loss=0.3149 | test_corr=(0.644, 0.422)
Epoch 29/200 | time=0.642s | train_loss=0.3009 | train_corr=(0.664, 0.544) | val_loss=0.3017 | val_corr=(0.67, 0.558) | test_loss=0.3048 | test_corr=(0.661, 0.535)
Epoch 30/200 | time=0.644s | train_loss=0.3023 | train_corr=(0.654, 0.627) | val_loss=0.2931 | val_corr=(0.664, 0.645) | test_loss=0.2998 | test_corr=(0.653, 0.63)
Epoch 31/200 | time=0.646s | train_loss=0.2879 | train_corr=(0.701, 0.675) | val_loss=0.2855 | val_corr=(0.674, 0.673) | test_loss=0.2919 | test_corr=(0.662, 0.654)
Epoch 32/200 | time=0.643s | train_loss=0.2816 | train_corr=(0.673, 0.728) | val_loss=0.2811 | val_corr=(0.691, 0.788) | test_loss=0.2832 | test_corr=(0.674, 0.768)
Epoch 33/200 | time=0.654s | train_loss=0.2604 | train_corr=(0.706, 0.82) | val_loss=0.2518 | val_corr=(0.717, 0.832) | test_loss=0.2601 | test_corr=(0.701, 0.809)
Epoch 34/200 | time=0.651s | train_loss=0.2426 | train_corr=(0.732, 0.847) | val_loss=0.2405 | val_corr=(0.735, 0.854) | test_loss=0.2508 | test_corr=(0.72, 0.823)
Epoch 35/200 | time=0.657s | train_loss=0.241 | train_corr=(0.747, 0.865) | val_loss=0.2375 | val_corr=(0.737, 0.873) | test_loss=0.2478 | test_corr=(0.723, 0.853)
Epoch 36/200 | time=0.658s | train_loss=0.2329 | train_corr=(0.754, 0.856) | val_loss=0.2248 | val_corr=(0.759, 0.885) | test_loss=0.236 | test_corr=(0.74, 0.861)
Epoch 37/200 | time=0.642s | train_loss=0.2201 | train_corr=(0.765, 0.902) | val_loss=0.2241 | val_corr=(0.762, 0.9) | test_loss=0.2358 | test_corr=(0.742, 0.861)
Epoch 38/200 | time=0.655s | train_loss=0.2153 | train_corr=(0.78, 0.897) | val_loss=0.2134 | val_corr=(0.775, 0.912) | test_loss=0.2314 | test_corr=(0.754, 0.886)
Epoch 39/200 | time=0.665s | train_loss=0.2109 | train_corr=(0.77, 0.906) | val_loss=0.205 | val_corr=(0.769, 0.905) | test_loss=0.2222 | test_corr=(0.748, 0.873)
Epoch 40/200 | time=0.672s | train_loss=0.1964 | train_corr=(0.791, 0.924) | val_loss=0.2009 | val_corr=(0.789, 0.917) | test_loss=0.2156 | test_corr=(0.768, 0.886)
Epoch 41/200 | time=0.658s | train_loss=0.2054 | train_corr=(0.788, 0.901) | val_loss=0.1947 | val_corr=(0.795, 0.924) | test_loss=0.2128 | test_corr=(0.771, 0.897)
Epoch 42/200 | time=0.663s | train_loss=0.188 | train_corr=(0.798, 0.919) | val_loss=0.1928 | val_corr=(0.807, 0.929) | test_loss=0.2092 | test_corr=(0.782, 0.896)
Epoch 43/200 | time=0.666s | train_loss=0.1803 | train_corr=(0.807, 0.929) | val_loss=0.2092 | val_corr=(0.807, 0.936) | test_loss=0.2196 | test_corr=(0.781, 0.902)
Epoch 44/200 | time=0.659s | train_loss=0.2048 | train_corr=(0.798, 0.926) | val_loss=0.1857 | val_corr=(0.811, 0.936) | test_loss=0.2063 | test_corr=(0.785, 0.902)
Epoch 45/200 | time=0.67s | train_loss=0.1728 | train_corr=(0.821, 0.947) | val_loss=0.1764 | val_corr=(0.822, 0.942) | test_loss=0.1984 | test_corr=(0.79, 0.908)
Epoch 46/200 | time=0.685s | train_loss=0.175 | train_corr=(0.818, 0.943) | val_loss=0.173 | val_corr=(0.82, 0.951) | test_loss=0.1917 | test_corr=(0.791, 0.914)
Epoch 47/200 | time=0.686s | train_loss=0.1733 | train_corr=(0.83, 0.949) | val_loss=0.1694 | val_corr=(0.827, 0.952) | test_loss=0.194 | test_corr=(0.796, 0.911)
Epoch 48/200 | time=0.674s | train_loss=0.1699 | train_corr=(0.842, 0.955) | val_loss=0.1794 | val_corr=(0.827, 0.938) | test_loss=0.2075 | test_corr=(0.794, 0.896)
Epoch 49/200 | time=0.674s | train_loss=0.1763 | train_corr=(0.824, 0.945) | val_loss=0.1718 | val_corr=(0.833, 0.946) | test_loss=0.1966 | test_corr=(0.799, 0.91)
Epoch 50/200 | time=0.674s | train_loss=0.1713 | train_corr=(0.824, 0.945) | val_loss=0.1659 | val_corr=(0.835, 0.951) | test_loss=0.1874 | test_corr=(0.805, 0.916)
Epoch 51/200 | time=0.675s | train_loss=0.1705 | train_corr=(0.826, 0.941) | val_loss=0.2087 | val_corr=(0.828, 0.952) | test_loss=0.2203 | test_corr=(0.798, 0.905)
Epoch 52/200 | time=0.687s | train_loss=0.1633 | train_corr=(0.847, 0.959) | val_loss=0.1637 | val_corr=(0.841, 0.954) | test_loss=0.1915 | test_corr=(0.807, 0.912)
Epoch 53/200 | time=0.673s | train_loss=0.155 | train_corr=(0.853, 0.956) | val_loss=0.1549 | val_corr=(0.849, 0.958) | test_loss=0.1811 | test_corr=(0.813, 0.913)
Epoch 54/200 | time=0.673s | train_loss=0.1523 | train_corr=(0.85, 0.963) | val_loss=0.1525 | val_corr=(0.85, 0.957) | test_loss=0.1798 | test_corr=(0.813, 0.909)
Epoch 55/200 | time=0.661s | train_loss=0.1482 | train_corr=(0.851, 0.967) | val_loss=0.1434 | val_corr=(0.855, 0.969) | test_loss=0.1734 | test_corr=(0.817, 0.926)
Epoch 56/200 | time=0.659s | train_loss=0.1408 | train_corr=(0.867, 0.966) | val_loss=0.1492 | val_corr=(0.861, 0.951) | test_loss=0.1795 | test_corr=(0.821, 0.912)
Epoch 57/200 | time=0.659s | train_loss=0.1413 | train_corr=(0.862, 0.97) | val_loss=0.1465 | val_corr=(0.858, 0.963) | test_loss=0.1796 | test_corr=(0.819, 0.915)
Epoch 58/200 | time=0.66s | train_loss=0.136 | train_corr=(0.873, 0.972) | val_loss=0.1403 | val_corr=(0.86, 0.967) | test_loss=0.17 | test_corr=(0.825, 0.929)
Epoch 59/200 | time=0.664s | train_loss=0.1396 | train_corr=(0.87, 0.967) | val_loss=0.1357 | val_corr=(0.869, 0.972) | test_loss=0.1683 | test_corr=(0.83, 0.928)
Epoch 60/200 | time=0.661s | train_loss=0.138 | train_corr=(0.879, 0.972) | val_loss=0.1396 | val_corr=(0.871, 0.97) | test_loss=0.1709 | test_corr=(0.83, 0.921)
Epoch 61/200 | time=0.66s | train_loss=0.1477 | train_corr=(0.862, 0.957) | val_loss=0.1405 | val_corr=(0.876, 0.958) | test_loss=0.1766 | test_corr=(0.83, 0.906)
Epoch 62/200 | time=0.664s | train_loss=0.133 | train_corr=(0.883, 0.969) | val_loss=0.1343 | val_corr=(0.883, 0.967) | test_loss=0.1692 | test_corr=(0.839, 0.923)
Epoch 63/200 | time=0.672s | train_loss=0.1528 | train_corr=(0.878, 0.964) | val_loss=0.137 | val_corr=(0.893, 0.969) | test_loss=0.1669 | test_corr=(0.847, 0.923)
Epoch 64/200 | time=0.661s | train_loss=0.1398 | train_corr=(0.904, 0.969) | val_loss=0.1241 | val_corr=(0.913, 0.97) | test_loss=0.1591 | test_corr=(0.861, 0.928)
Epoch 65/200 | time=0.662s | train_loss=0.1342 | train_corr=(0.915, 0.967) | val_loss=0.1225 | val_corr=(0.922, 0.968) | test_loss=0.1584 | test_corr=(0.868, 0.927)
Epoch 66/200 | time=0.677s | train_loss=0.1242 | train_corr=(0.933, 0.969) | val_loss=0.1357 | val_corr=(0.92, 0.958) | test_loss=0.1776 | test_corr=(0.86, 0.919)
Epoch 67/200 | time=0.661s | train_loss=0.1214 | train_corr=(0.921, 0.969) | val_loss=0.1109 | val_corr=(0.935, 0.976) | test_loss=0.1543 | test_corr=(0.877, 0.928)
Epoch 68/200 | time=0.671s | train_loss=0.112 | train_corr=(0.938, 0.975) | val_loss=0.1146 | val_corr=(0.94, 0.976) | test_loss=0.1507 | test_corr=(0.884, 0.934)
Epoch 69/200 | time=0.672s | train_loss=0.1055 | train_corr=(0.941, 0.98) | val_loss=0.1024 | val_corr=(0.944, 0.978) | test_loss=0.1487 | test_corr=(0.881, 0.926)
Epoch 70/200 | time=0.679s | train_loss=0.1114 | train_corr=(0.941, 0.985) | val_loss=0.0981 | val_corr=(0.944, 0.981) | test_loss=0.1466 | test_corr=(0.882, 0.931)
Epoch 71/200 | time=0.67s | train_loss=0.1358 | train_corr=(0.924, 0.979) | val_loss=0.1373 | val_corr=(0.926, 0.973) | test_loss=0.1818 | test_corr=(0.862, 0.93)
Epoch 72/200 | time=0.682s | train_loss=0.1178 | train_corr=(0.937, 0.972) | val_loss=0.1326 | val_corr=(0.94, 0.973) | test_loss=0.1629 | test_corr=(0.881, 0.929)
Epoch 73/200 | time=0.642s | train_loss=0.1202 | train_corr=(0.929, 0.96) | val_loss=0.1149 | val_corr=(0.932, 0.97) | test_loss=0.1555 | test_corr=(0.874, 0.927)
Epoch 74/200 | time=0.654s | train_loss=0.1107 | train_corr=(0.94, 0.976) | val_loss=0.1047 | val_corr=(0.944, 0.974) | test_loss=0.1451 | test_corr=(0.882, 0.931)
Epoch 75/200 | time=0.633s | train_loss=0.1018 | train_corr=(0.943, 0.979) | val_loss=0.0942 | val_corr=(0.947, 0.982) | test_loss=0.1415 | test_corr=(0.884, 0.934)
Epoch 76/200 | time=0.639s | train_loss=0.108 | train_corr=(0.952, 0.981) | val_loss=0.1015 | val_corr=(0.945, 0.98) | test_loss=0.1533 | test_corr=(0.877, 0.934)
Epoch 77/200 | time=0.642s | train_loss=0.1064 | train_corr=(0.935, 0.974) | val_loss=0.1012 | val_corr=(0.947, 0.98) | test_loss=0.1418 | test_corr=(0.888, 0.934)
Epoch 78/200 | time=0.647s | train_loss=0.0987 | train_corr=(0.943, 0.98) | val_loss=0.0932 | val_corr=(0.944, 0.984) | test_loss=0.141 | test_corr=(0.882, 0.937)
Epoch 79/200 | time=0.644s | train_loss=0.0926 | train_corr=(0.954, 0.985) | val_loss=0.0875 | val_corr=(0.951, 0.984) | test_loss=0.1394 | test_corr=(0.886, 0.938)
Epoch 80/200 | time=0.634s | train_loss=0.085 | train_corr=(0.954, 0.987) | val_loss=0.0874 | val_corr=(0.955, 0.986) | test_loss=0.1385 | test_corr=(0.886, 0.934)
Epoch 81/200 | time=0.645s | train_loss=0.0824 | train_corr=(0.955, 0.987) | val_loss=0.0857 | val_corr=(0.954, 0.985) | test_loss=0.1366 | test_corr=(0.889, 0.937)
Epoch 82/200 | time=0.637s | train_loss=0.0862 | train_corr=(0.951, 0.986) | val_loss=0.0839 | val_corr=(0.953, 0.986) | test_loss=0.1371 | test_corr=(0.886, 0.933)
Epoch 83/200 | time=0.639s | train_loss=0.0819 | train_corr=(0.953, 0.987) | val_loss=0.0873 | val_corr=(0.951, 0.983) | test_loss=0.1398 | test_corr=(0.885, 0.929)
Epoch 84/200 | time=0.636s | train_loss=0.0822 | train_corr=(0.954, 0.989) | val_loss=0.0851 | val_corr=(0.953, 0.985) | test_loss=0.1403 | test_corr=(0.886, 0.933)
Epoch 85/200 | time=0.647s | train_loss=0.0943 | train_corr=(0.954, 0.983) | val_loss=0.0855 | val_corr=(0.951, 0.989) | test_loss=0.139 | test_corr=(0.886, 0.939)
Epoch 86/200 | time=0.646s | train_loss=0.0988 | train_corr=(0.944, 0.974) | val_loss=0.096 | val_corr=(0.955, 0.985) | test_loss=0.1408 | test_corr=(0.888, 0.934)
Epoch 87/200 | time=0.647s | train_loss=0.0955 | train_corr=(0.945, 0.972) | val_loss=0.0901 | val_corr=(0.95, 0.978) | test_loss=0.1385 | test_corr=(0.886, 0.925)
Epoch 88/200 | time=0.638s | train_loss=0.0843 | train_corr=(0.95, 0.987) | val_loss=0.084 | val_corr=(0.953, 0.986) | test_loss=0.1384 | test_corr=(0.884, 0.936)
Epoch 89/200 | time=0.644s | train_loss=0.0811 | train_corr=(0.953, 0.987) | val_loss=0.0868 | val_corr=(0.95, 0.982) | test_loss=0.1407 | test_corr=(0.884, 0.936)
Epoch 90/200 | time=0.646s | train_loss=0.0846 | train_corr=(0.955, 0.987) | val_loss=0.0781 | val_corr=(0.955, 0.99) | test_loss=0.1356 | test_corr=(0.886, 0.941)
Epoch 91/200 | time=0.645s | train_loss=0.0967 | train_corr=(0.958, 0.988) | val_loss=0.0847 | val_corr=(0.951, 0.987) | test_loss=0.1404 | test_corr=(0.884, 0.937)
Epoch 92/200 | time=0.638s | train_loss=0.0761 | train_corr=(0.96, 0.99) | val_loss=0.0797 | val_corr=(0.958, 0.988) | test_loss=0.1322 | test_corr=(0.89, 0.938)
Epoch 93/200 | time=0.652s | train_loss=0.0817 | train_corr=(0.954, 0.989) | val_loss=0.0756 | val_corr=(0.956, 0.99) | test_loss=0.1312 | test_corr=(0.89, 0.94)
Epoch 94/200 | time=0.648s | train_loss=0.0697 | train_corr=(0.961, 0.991) | val_loss=0.0752 | val_corr=(0.958, 0.988) | test_loss=0.1316 | test_corr=(0.888, 0.937)
Epoch 95/200 | time=0.646s | train_loss=0.0757 | train_corr=(0.959, 0.989) | val_loss=0.0747 | val_corr=(0.959, 0.989) | test_loss=0.1296 | test_corr=(0.892, 0.938)
Epoch 96/200 | time=0.647s | train_loss=0.0749 | train_corr=(0.957, 0.989) | val_loss=0.0787 | val_corr=(0.96, 0.99) | test_loss=0.1304 | test_corr=(0.893, 0.939)
Epoch 97/200 | time=0.647s | train_loss=0.071 | train_corr=(0.959, 0.991) | val_loss=0.0739 | val_corr=(0.96, 0.99) | test_loss=0.1284 | test_corr=(0.894, 0.939)
Epoch 98/200 | time=0.647s | train_loss=0.0769 | train_corr=(0.956, 0.987) | val_loss=0.0793 | val_corr=(0.958, 0.989) | test_loss=0.1337 | test_corr=(0.891, 0.935)
Epoch 99/200 | time=0.649s | train_loss=0.0711 | train_corr=(0.961, 0.99) | val_loss=0.0722 | val_corr=(0.96, 0.99) | test_loss=0.1282 | test_corr=(0.892, 0.94)
Epoch 100/200 | time=0.648s | train_loss=0.0716 | train_corr=(0.958, 0.991) | val_loss=0.0732 | val_corr=(0.958, 0.991) | test_loss=0.1317 | test_corr=(0.89, 0.941)
Epoch 101/200 | time=0.644s | train_loss=0.0698 | train_corr=(0.961, 0.99) | val_loss=0.0714 | val_corr=(0.959, 0.991) | test_loss=0.1313 | test_corr=(0.89, 0.941)
Epoch 102/200 | time=0.637s | train_loss=0.0691 | train_corr=(0.962, 0.991) | val_loss=0.0702 | val_corr=(0.96, 0.99) | test_loss=0.131 | test_corr=(0.889, 0.939)
Epoch 103/200 | time=0.641s | train_loss=0.0756 | train_corr=(0.958, 0.984) | val_loss=0.0764 | val_corr=(0.958, 0.985) | test_loss=0.1353 | test_corr=(0.887, 0.93)
Epoch 104/200 | time=0.647s | train_loss=0.0748 | train_corr=(0.957, 0.986) | val_loss=0.0845 | val_corr=(0.953, 0.987) | test_loss=0.1436 | test_corr=(0.884, 0.935)
Epoch 105/200 | time=0.638s | train_loss=0.0796 | train_corr=(0.957, 0.988) | val_loss=0.0746 | val_corr=(0.956, 0.988) | test_loss=0.1337 | test_corr=(0.884, 0.94)
Epoch 106/200 | time=0.642s | train_loss=0.0787 | train_corr=(0.957, 0.985) | val_loss=0.0804 | val_corr=(0.959, 0.985) | test_loss=0.1334 | test_corr=(0.889, 0.939)
Epoch 107/200 | time=0.638s | train_loss=0.0756 | train_corr=(0.955, 0.989) | val_loss=0.0753 | val_corr=(0.956, 0.987) | test_loss=0.1304 | test_corr=(0.888, 0.94)
Epoch 108/200 | time=0.647s | train_loss=0.0742 | train_corr=(0.958, 0.99) | val_loss=0.0791 | val_corr=(0.953, 0.988) | test_loss=0.1371 | test_corr=(0.883, 0.942)
Epoch 109/200 | time=0.646s | train_loss=0.0792 | train_corr=(0.958, 0.987) | val_loss=0.078 | val_corr=(0.954, 0.986) | test_loss=0.1312 | test_corr=(0.888, 0.939)
Epoch 110/200 | time=0.647s | train_loss=0.0733 | train_corr=(0.956, 0.985) | val_loss=0.0854 | val_corr=(0.958, 0.984) | test_loss=0.1347 | test_corr=(0.888, 0.934)
Epoch 111/200 | time=0.652s | train_loss=0.069 | train_corr=(0.96, 0.989) | val_loss=0.0754 | val_corr=(0.96, 0.987) | test_loss=0.1294 | test_corr=(0.892, 0.932)
Epoch 112/200 | time=0.666s | train_loss=0.0666 | train_corr=(0.962, 0.991) | val_loss=0.0696 | val_corr=(0.96, 0.989) | test_loss=0.1288 | test_corr=(0.889, 0.939)
Epoch 113/200 | time=0.658s | train_loss=0.0662 | train_corr=(0.96, 0.993) | val_loss=0.0679 | val_corr=(0.962, 0.992) | test_loss=0.1253 | test_corr=(0.894, 0.942)
