Running on host gpu015
Using 8 Julia threads
Starting at Sat Apr 11 09:40:42 CEST 2026
Loading Modules
Finished Loading Modules
Running sweep_node_retrain.jl
Iter 150/150 | loss=2926.725 | avg_time=0.479s/iter | elapsed=71.9s | ETA=0.0s
Iter 150/150 | loss=2926.725 | avg_time=0.483s/iter | elapsed=72.4s | ETA=0.0s
Iter 1/50 | loss=8527.436 | avg_time=0.512s/iter | elapsed=0.5s | ETA=25.1s
Iter 10/50 | loss=7363.7837 | avg_time=0.623s/iter | elapsed=6.2s | ETA=24.9s
Iter 20/50 | loss=6742.994 | avg_time=0.621s/iter | elapsed=12.4s | ETA=18.6s
Iter 30/50 | loss=6342.2754 | avg_time=0.615s/iter | elapsed=18.5s | ETA=12.3s
Iter 40/50 | loss=6050.5156 | avg_time=0.614s/iter | elapsed=24.6s | ETA=6.1s
Iter 50/50 | loss=5811.0713 | avg_time=0.61s/iter | elapsed=30.5s | ETA=0.0s
Iter 50/50 | loss=5811.0713 | avg_time=0.622s/iter | elapsed=31.1s | ETA=0.0s
Iter 1/100 | loss=8527.436 | avg_time=0.548s/iter | elapsed=0.5s | ETA=54.3s
Iter 10/100 | loss=7363.7837 | avg_time=0.622s/iter | elapsed=6.2s | ETA=56.0s
Iter 20/100 | loss=6742.994 | avg_time=0.614s/iter | elapsed=12.3s | ETA=49.1s
Iter 30/100 | loss=6342.2754 | avg_time=0.611s/iter | elapsed=18.3s | ETA=42.8s
Iter 40/100 | loss=6050.5156 | avg_time=0.613s/iter | elapsed=24.5s | ETA=36.8s
Iter 50/100 | loss=5811.0713 | avg_time=0.608s/iter | elapsed=30.4s | ETA=30.4s
Iter 60/100 | loss=5609.4497 | avg_time=0.606s/iter | elapsed=36.3s | ETA=24.2s
Iter 70/100 | loss=5431.5166 | avg_time=0.603s/iter | elapsed=42.2s | ETA=18.1s
Iter 80/100 | loss=5272.6494 | avg_time=0.602s/iter | elapsed=48.2s | ETA=12.0s
Iter 90/100 | loss=5127.6245 | avg_time=0.6s/iter | elapsed=54.0s | ETA=6.0s
Iter 100/100 | loss=4991.6963 | avg_time=0.6s/iter | elapsed=60.0s | ETA=0.0s
Iter 100/100 | loss=4991.6963 | avg_time=0.606s/iter | elapsed=60.6s | ETA=0.0s
Iter 1/150 | loss=8527.436 | avg_time=0.525s/iter | elapsed=0.5s | ETA=78.2s
