Running on host gpu012
Using 8 Julia threads
Starting at Sun Apr 12 16:57:13 CEST 2026
Loading Modules
Finished Loading Modules
Running sweep_node_retrain.jl
Iter 150/150 | loss=2479.2976 | avg_time=0.481s/iter | elapsed=72.2s | ETA=0.0s
Iter 150/150 | loss=2479.2976 | avg_time=0.485s/iter | elapsed=72.7s | ETA=0.0s
Iter 1/50 | loss=6454.0967 | avg_time=0.477s/iter | elapsed=0.5s | ETA=23.4s
Iter 10/50 | loss=6030.5864 | avg_time=0.576s/iter | elapsed=5.8s | ETA=23.0s
Iter 20/50 | loss=5717.24 | avg_time=0.586s/iter | elapsed=11.7s | ETA=17.6s
Iter 30/50 | loss=5467.605 | avg_time=0.589s/iter | elapsed=17.7s | ETA=11.8s
Iter 40/50 | loss=5258.9937 | avg_time=0.588s/iter | elapsed=23.5s | ETA=5.9s
Iter 50/50 | loss=5075.4976 | avg_time=0.588s/iter | elapsed=29.4s | ETA=0.0s
Iter 50/50 | loss=5075.4976 | avg_time=0.6s/iter | elapsed=30.0s | ETA=0.0s
Iter 1/100 | loss=6454.0967 | avg_time=0.479s/iter | elapsed=0.5s | ETA=47.5s
Iter 10/100 | loss=6030.5864 | avg_time=0.577s/iter | elapsed=5.8s | ETA=51.9s
Iter 20/100 | loss=5717.24 | avg_time=0.584s/iter | elapsed=11.7s | ETA=46.7s
Iter 30/100 | loss=5467.605 | avg_time=0.586s/iter | elapsed=17.6s | ETA=41.0s
Iter 40/100 | loss=5258.9937 | avg_time=0.586s/iter | elapsed=23.4s | ETA=35.1s
Iter 50/100 | loss=5075.4976 | avg_time=0.585s/iter | elapsed=29.3s | ETA=29.3s
Iter 60/100 | loss=4911.1475 | avg_time=0.586s/iter | elapsed=35.2s | ETA=23.4s
Iter 70/100 | loss=4763.5312 | avg_time=0.587s/iter | elapsed=41.1s | ETA=17.6s
Iter 80/100 | loss=4624.702 | avg_time=0.59s/iter | elapsed=47.2s | ETA=11.8s
Iter 90/100 | loss=4493.1465 | avg_time=0.591s/iter | elapsed=53.2s | ETA=5.9s
Iter 100/100 | loss=4365.736 | avg_time=0.592s/iter | elapsed=59.2s | ETA=0.0s
Iter 100/100 | loss=4365.736 | avg_time=0.598s/iter | elapsed=59.8s | ETA=0.0s
Iter 1/150 | loss=6454.0967 | avg_time=0.474s/iter | elapsed=0.5s | ETA=70.6s
Iter 10/150 | loss=6030.5864 | avg_time=0.574s/iter | elapsed=5.7s | ETA=80.4s
Iter 20/150 | loss=5717.24 | avg_time=0.584s/iter | elapsed=11.7s | ETA=76.0s
Iter 30/150 | loss=5467.605 | avg_time=0.587s/iter | elapsed=17.6s | ETA=70.4s
Iter 40/150 | loss=5258.9937 | avg_time=0.585s/iter | elapsed=23.4s | ETA=64.4s
Iter 50/150 | loss=5075.4976 | avg_time=0.586s/iter | elapsed=29.3s | ETA=58.6s
Iter 60/150 | loss=4911.1475 | avg_time=0.588s/iter | elapsed=35.3s | ETA=52.9s
Iter 70/150 | loss=4763.5312 | avg_time=0.588s/iter | elapsed=41.2s | ETA=47.1s
Iter 80/150 | loss=4624.702 | avg_time=0.59s/iter | elapsed=47.2s | ETA=41.3s
Iter 90/150 | loss=4493.1465 | avg_time=0.591s/iter | elapsed=53.2s | ETA=35.5s
Iter 100/150 | loss=4365.736 | avg_time=0.592s/iter | elapsed=59.2s | ETA=29.6s
Iter 110/150 | loss=4249.5234 | avg_time=0.593s/iter | elapsed=65.2s | ETA=23.7s
Iter 120/150 | loss=4140.3594 | avg_time=0.594s/iter | elapsed=71.3s | ETA=17.8s
Iter 130/150 | loss=4035.5396 | avg_time=0.595s/iter | elapsed=77.4s | ETA=11.9s
Iter 140/150 | loss=3939.472 | avg_time=0.595s/iter | elapsed=83.3s | ETA=6.0s
Iter 150/150 | loss=3851.8862 | avg_time=0.596s/iter | elapsed=89.3s | ETA=0.0s
Iter 150/150 | loss=3851.8862 | avg_time=0.599s/iter | elapsed=89.9s | ETA=0.0s
Iter 1/50 | loss=8179.9478 | avg_time=0.567s/iter | elapsed=0.6s | ETA=27.8s
Iter 10/50 | loss=7730.0645 | avg_time=0.777s/iter | elapsed=7.8s | ETA=31.1s
Iter 20/50 | loss=7371.4937 | avg_time=0.792s/iter | elapsed=15.8s | ETA=23.8s
Iter 30/50 | loss=7089.688 | avg_time=0.798s/iter | elapsed=23.9s | ETA=16.0s
Iter 40/50 | loss=6845.9424 | avg_time=0.801s/iter | elapsed=32.0s | ETA=8.0s
Iter 50/50 | loss=6635.9595 | avg_time=0.805s/iter | elapsed=40.2s | ETA=0.0s
Iter 50/50 | loss=6635.9595 | avg_time=0.821s/iter | elapsed=41.1s | ETA=0.0s
Iter 1/100 | loss=8179.9478 | avg_time=0.536s/iter | elapsed=0.5s | ETA=53.1s
Iter 10/100 | loss=7730.0645 | avg_time=0.774s/iter | elapsed=7.7s | ETA=69.6s
Iter 20/100 | loss=7371.4937 | avg_time=0.788s/iter | elapsed=15.8s | ETA=63.0s
Iter 30/100 | loss=7089.688 | avg_time=0.796s/iter | elapsed=23.9s | ETA=55.7s
Iter 40/100 | loss=6845.9424 | avg_time=0.799s/iter | elapsed=32.0s | ETA=47.9s
Iter 50/100 | loss=6635.9595 | avg_time=0.801s/iter | elapsed=40.1s | ETA=40.1s
Iter 60/100 | loss=6441.6143 | avg_time=0.804s/iter | elapsed=48.2s | ETA=32.1s
Iter 70/100 | loss=6267.8955 | avg_time=0.804s/iter | elapsed=56.3s | ETA=24.1s
Iter 80/100 | loss=6114.3467 | avg_time=0.805s/iter | elapsed=64.4s | ETA=16.1s
Iter 90/100 | loss=5970.8975 | avg_time=0.807s/iter | elapsed=72.6s | ETA=8.1s
Iter 100/100 | loss=5834.5723 | avg_time=0.808s/iter | elapsed=80.8s | ETA=0.0s
Iter 100/100 | loss=5834.5723 | avg_time=0.816s/iter | elapsed=81.6s | ETA=0.0s
Iter 1/150 | loss=8179.9478 | avg_time=0.543s/iter | elapsed=0.5s | ETA=80.8s
Iter 10/150 | loss=7730.0645 | avg_time=0.771s/iter | elapsed=7.7s | ETA=108.0s
Iter 20/150 | loss=7371.4937 | avg_time=0.785s/iter | elapsed=15.7s | ETA=102.1s
Iter 30/150 | loss=7089.688 | avg_time=0.795s/iter | elapsed=23.8s | ETA=95.4s
Iter 40/150 | loss=6845.9424 | avg_time=0.797s/iter | elapsed=31.9s | ETA=87.7s
Iter 50/150 | loss=6635.9595 | avg_time=0.8s/iter | elapsed=40.0s | ETA=80.0s
Iter 60/150 | loss=6441.6143 | avg_time=0.802s/iter | elapsed=48.1s | ETA=72.2s
Iter 70/150 | loss=6267.8955 | avg_time=0.803s/iter | elapsed=56.2s | ETA=64.2s
Iter 80/150 | loss=6114.3467 | avg_time=0.805s/iter | elapsed=64.4s | ETA=56.4s
Iter 90/150 | loss=5970.8975 | avg_time=0.806s/iter | elapsed=72.5s | ETA=48.3s
Iter 100/150 | loss=5834.5723 | avg_time=0.808s/iter | elapsed=80.8s | ETA=40.4s
Iter 110/150 | loss=5709.226 | avg_time=0.808s/iter | elapsed=88.9s | ETA=32.3s
Iter 120/150 | loss=5589.632 | avg_time=0.809s/iter | elapsed=97.1s | ETA=24.3s
Iter 130/150 | loss=5477.5723 | avg_time=0.81s/iter | elapsed=105.3s | ETA=16.2s
Iter 140/150 | loss=5371.9033 | avg_time=0.81s/iter | elapsed=113.4s | ETA=8.1s
Iter 150/150 | loss=5273.2036 | avg_time=0.811s/iter | elapsed=121.7s | ETA=0.0s
Iter 150/150 | loss=5273.2036 | avg_time=0.817s/iter | elapsed=122.5s | ETA=0.0s
Iter 1/50 | loss=7894.4688 | avg_time=0.371s/iter | elapsed=0.4s | ETA=18.2s
Iter 10/50 | loss=7458.018 | avg_time=0.461s/iter | elapsed=4.6s | ETA=18.4s
Iter 20/50 | loss=7048.65 | avg_time=0.474s/iter | elapsed=9.5s | ETA=14.2s
Iter 30/50 | loss=6718.971 | avg_time=0.475s/iter | elapsed=14.2s | ETA=9.5s
Iter 40/50 | loss=6430.9517 | avg_time=0.475s/iter | elapsed=19.0s | ETA=4.8s
Iter 50/50 | loss=6187.13 | avg_time=0.474s/iter | elapsed=23.7s | ETA=0.0s
Iter 50/50 | loss=6187.13 | avg_time=0.484s/iter | elapsed=24.2s | ETA=0.0s
Iter 1/100 | loss=7894.4688 | avg_time=0.366s/iter | elapsed=0.4s | ETA=36.2s
Iter 10/100 | loss=7458.018 | avg_time=0.461s/iter | elapsed=4.6s | ETA=41.5s
Iter 20/100 | loss=7048.65 | avg_time=0.472s/iter | elapsed=9.4s | ETA=37.7s
Iter 30/100 | loss=6718.971 | avg_time=0.474s/iter | elapsed=14.2s | ETA=33.2s
Iter 40/100 | loss=6430.9517 | avg_time=0.475s/iter | elapsed=19.0s | ETA=28.5s
Iter 50/100 | loss=6187.13 | avg_time=0.475s/iter | elapsed=23.7s | ETA=23.7s
Iter 60/100 | loss=5972.022 | avg_time=0.475s/iter | elapsed=28.5s | ETA=19.0s
Iter 70/100 | loss=5785.007 | avg_time=0.476s/iter | elapsed=33.3s | ETA=14.3s
Iter 80/100 | loss=5615.0234 | avg_time=0.475s/iter | elapsed=38.0s | ETA=9.5s
Iter 90/100 | loss=5453.918 | avg_time=0.476s/iter | elapsed=42.8s | ETA=4.8s
Iter 100/100 | loss=5313.124 | avg_time=0.475s/iter | elapsed=47.5s | ETA=0.0s
Iter 100/100 | loss=5313.124 | avg_time=0.48s/iter | elapsed=48.0s | ETA=0.0s
Iter 1/150 | loss=7894.4688 | avg_time=0.379s/iter | elapsed=0.4s | ETA=56.5s
Iter 10/150 | loss=7458.018 | avg_time=0.467s/iter | elapsed=4.7s | ETA=65.3s
Iter 20/150 | loss=7048.65 | avg_time=0.473s/iter | elapsed=9.5s | ETA=61.5s
Iter 30/150 | loss=6718.971 | avg_time=0.474s/iter | elapsed=14.2s | ETA=56.9s
Iter 40/150 | loss=6430.9517 | avg_time=0.476s/iter | elapsed=19.0s | ETA=52.3s
Iter 50/150 | loss=6187.13 | avg_time=0.474s/iter | elapsed=23.7s | ETA=47.4s
Iter 60/150 | loss=5972.022 | avg_time=0.473s/iter | elapsed=28.4s | ETA=42.6s
Iter 70/150 | loss=5785.007 | avg_time=0.474s/iter | elapsed=33.2s | ETA=37.9s
Iter 80/150 | loss=5615.0234 | avg_time=0.473s/iter | elapsed=37.9s | ETA=33.1s
Iter 90/150 | loss=5453.918 | avg_time=0.474s/iter | elapsed=42.7s | ETA=28.4s
Iter 100/150 | loss=5313.124 | avg_time=0.474s/iter | elapsed=47.4s | ETA=23.7s
Iter 110/150 | loss=5179.1724 | avg_time=0.474s/iter | elapsed=52.1s | ETA=18.9s
Iter 120/150 | loss=5053.0557 | avg_time=0.474s/iter | elapsed=56.9s | ETA=14.2s
Iter 130/150 | loss=4937.8174 | avg_time=0.475s/iter | elapsed=61.8s | ETA=9.5s
Iter 140/150 | loss=4830.8477 | avg_time=0.475s/iter | elapsed=66.5s | ETA=4.8s
Iter 150/150 | loss=4728.7363 | avg_time=0.475s/iter | elapsed=71.3s | ETA=0.0s
Iter 150/150 | loss=4728.7363 | avg_time=0.478s/iter | elapsed=71.7s | ETA=0.0s
Iter 1/50 | loss=12515.876 | avg_time=0.438s/iter | elapsed=0.4s | ETA=21.5s
Iter 10/50 | loss=11687.47 | avg_time=0.581s/iter | elapsed=5.8s | ETA=23.2s
Iter 20/50 | loss=11076.634 | avg_time=0.586s/iter | elapsed=11.7s | ETA=17.6s
Iter 30/50 | loss=10587.195 | avg_time=0.587s/iter | elapsed=17.6s | ETA=11.7s
Iter 40/50 | loss=10175.592 | avg_time=0.586s/iter | elapsed=23.4s | ETA=5.9s
Iter 50/50 | loss=9818.835 | avg_time=0.586s/iter | elapsed=29.3s | ETA=0.0s
Iter 50/50 | loss=9818.835 | avg_time=0.597s/iter | elapsed=29.9s | ETA=0.0s
Iter 1/100 | loss=12515.876 | avg_time=0.441s/iter | elapsed=0.4s | ETA=43.6s
Iter 10/100 | loss=11687.47 | avg_time=0.579s/iter | elapsed=5.8s | ETA=52.1s
Iter 20/100 | loss=11076.634 | avg_time=0.584s/iter | elapsed=11.7s | ETA=46.7s
Iter 30/100 | loss=10587.195 | avg_time=0.584s/iter | elapsed=17.5s | ETA=40.8s
Iter 40/100 | loss=10175.592 | avg_time=0.582s/iter | elapsed=23.3s | ETA=34.9s
Iter 50/100 | loss=9818.835 | avg_time=0.585s/iter | elapsed=29.2s | ETA=29.2s
Iter 60/100 | loss=9499.647 | avg_time=0.584s/iter | elapsed=35.0s | ETA=23.4s
Iter 70/100 | loss=9214.399 | avg_time=0.586s/iter | elapsed=41.0s | ETA=17.6s
Iter 80/100 | loss=8943.462 | avg_time=0.587s/iter | elapsed=47.0s | ETA=11.7s
Iter 90/100 | loss=8686.1455 | avg_time=0.588s/iter | elapsed=52.9s | ETA=5.9s
Iter 100/100 | loss=8441.393 | avg_time=0.588s/iter | elapsed=58.8s | ETA=0.0s
Iter 100/100 | loss=8441.393 | avg_time=0.594s/iter | elapsed=59.4s | ETA=0.0s
Iter 1/150 | loss=12515.876 | avg_time=0.449s/iter | elapsed=0.4s | ETA=66.8s
Iter 10/150 | loss=11687.47 | avg_time=0.58s/iter | elapsed=5.8s | ETA=81.2s
Iter 20/150 | loss=11076.634 | avg_time=0.584s/iter | elapsed=11.7s | ETA=75.9s
Iter 30/150 | loss=10587.195 | avg_time=0.584s/iter | elapsed=17.5s | ETA=70.1s
Iter 40/150 | loss=10175.592 | avg_time=0.582s/iter | elapsed=23.3s | ETA=64.0s
Iter 50/150 | loss=9818.835 | avg_time=0.582s/iter | elapsed=29.1s | ETA=58.2s
Iter 60/150 | loss=9499.647 | avg_time=0.583s/iter | elapsed=35.0s | ETA=52.5s
Iter 70/150 | loss=9214.399 | avg_time=0.585s/iter | elapsed=40.9s | ETA=46.8s
Iter 80/150 | loss=8943.462 | avg_time=0.586s/iter | elapsed=46.9s | ETA=41.0s
Iter 90/150 | loss=8686.1455 | avg_time=0.587s/iter | elapsed=52.8s | ETA=35.2s
Iter 100/150 | loss=8441.393 | avg_time=0.588s/iter | elapsed=58.8s | ETA=29.4s
Iter 110/150 | loss=8215.83 | avg_time=0.589s/iter | elapsed=64.7s | ETA=23.5s
Iter 120/150 | loss=8001.743 | avg_time=0.589s/iter | elapsed=70.6s | ETA=17.7s
Iter 130/150 | loss=7797.2144 | avg_time=0.589s/iter | elapsed=76.6s | ETA=11.8s
Iter 140/150 | loss=7610.7197 | avg_time=0.59s/iter | elapsed=82.6s | ETA=5.9s
Iter 150/150 | loss=7440.771 | avg_time=0.59s/iter | elapsed=88.5s | ETA=0.0s
Iter 150/150 | loss=7440.771 | avg_time=0.594s/iter | elapsed=89.1s | ETA=0.0s
Iter 1/50 | loss=15915.509 | avg_time=0.55s/iter | elapsed=0.6s | ETA=27.0s
Iter 10/50 | loss=15036.364 | avg_time=0.772s/iter | elapsed=7.7s | ETA=30.9s
Iter 20/50 | loss=14333.847 | avg_time=0.784s/iter | elapsed=15.7s | ETA=23.5s
Iter 30/50 | loss=13784.555 | avg_time=0.79s/iter | elapsed=23.7s | ETA=15.8s
Iter 40/50 | loss=13306.735 | avg_time=0.794s/iter | elapsed=31.8s | ETA=7.9s
Iter 50/50 | loss=12897.338 | avg_time=0.797s/iter | elapsed=39.8s | ETA=0.0s
Iter 50/50 | loss=12897.338 | avg_time=0.813s/iter | elapsed=40.6s | ETA=0.0s
Iter 1/100 | loss=15915.509 | avg_time=0.536s/iter | elapsed=0.5s | ETA=53.1s
Iter 10/100 | loss=15036.364 | avg_time=0.777s/iter | elapsed=7.8s | ETA=69.9s
Iter 20/100 | loss=14333.847 | avg_time=0.788s/iter | elapsed=15.8s | ETA=63.0s
Iter 30/100 | loss=13784.555 | avg_time=0.793s/iter | elapsed=23.8s | ETA=55.5s
Iter 40/100 | loss=13306.735 | avg_time=0.796s/iter | elapsed=31.8s | ETA=47.8s
Iter 50/100 | loss=12897.338 | avg_time=0.799s/iter | elapsed=39.9s | ETA=39.9s
Iter 60/100 | loss=12517.489 | avg_time=0.8s/iter | elapsed=48.0s | ETA=32.0s
Iter 70/100 | loss=12174.286 | avg_time=0.801s/iter | elapsed=56.1s | ETA=24.0s
Iter 80/100 | loss=11876.723 | avg_time=0.803s/iter | elapsed=64.2s | ETA=16.1s
Iter 90/100 | loss=11596.591 | avg_time=0.803s/iter | elapsed=72.3s | ETA=8.0s
Iter 100/100 | loss=11331.391 | avg_time=0.805s/iter | elapsed=80.5s | ETA=0.0s
Iter 100/100 | loss=11331.391 | avg_time=0.813s/iter | elapsed=81.3s | ETA=0.0s
Iter 1/150 | loss=15915.509 | avg_time=0.532s/iter | elapsed=0.5s | ETA=79.3s
Iter 10/150 | loss=15036.364 | avg_time=0.767s/iter | elapsed=7.7s | ETA=107.3s
Iter 20/150 | loss=14333.847 | avg_time=0.781s/iter | elapsed=15.6s | ETA=101.5s
Iter 30/150 | loss=13784.555 | avg_time=0.791s/iter | elapsed=23.7s | ETA=94.9s
Iter 40/150 | loss=13306.735 | avg_time=0.794s/iter | elapsed=31.8s | ETA=87.4s
Iter 50/150 | loss=12897.338 | avg_time=0.797s/iter | elapsed=39.8s | ETA=79.7s
Iter 60/150 | loss=12517.489 | avg_time=0.799s/iter | elapsed=47.9s | ETA=71.9s
Iter 70/150 | loss=12174.286 | avg_time=0.801s/iter | elapsed=56.1s | ETA=64.1s
Iter 80/150 | loss=11876.723 | avg_time=0.801s/iter | elapsed=64.1s | ETA=56.1s
Iter 90/150 | loss=11596.591 | avg_time=0.802s/iter | elapsed=72.2s | ETA=48.1s
Iter 100/150 | loss=11331.391 | avg_time=0.803s/iter | elapsed=80.3s | ETA=40.2s
Iter 110/150 | loss=11086.704 | avg_time=0.804s/iter | elapsed=88.4s | ETA=32.2s
Iter 120/150 | loss=10855.926 | avg_time=0.805s/iter | elapsed=96.5s | ETA=24.1s
Iter 130/150 | loss=10639.79 | avg_time=0.805s/iter | elapsed=104.6s | ETA=16.1s
Iter 140/150 | loss=10432.445 | avg_time=0.805s/iter | elapsed=112.8s | ETA=8.1s
Iter 150/150 | loss=10241.248 | avg_time=0.806s/iter | elapsed=120.9s | ETA=0.0s
Iter 150/150 | loss=10241.248 | avg_time=0.811s/iter | elapsed=121.7s | ETA=0.0s
Iter 1/50 | loss=15506.497 | avg_time=0.355s/iter | elapsed=0.4s | ETA=17.4s
Iter 10/50 | loss=14642.332 | avg_time=0.467s/iter | elapsed=4.7s | ETA=18.7s
Iter 20/50 | loss=13833.919 | avg_time=0.473s/iter | elapsed=9.5s | ETA=14.2s
Iter 30/50 | loss=13181.892 | avg_time=0.472s/iter | elapsed=14.2s | ETA=9.4s
Iter 40/50 | loss=12615.023 | avg_time=0.473s/iter | elapsed=18.9s | ETA=4.7s
Iter 50/50 | loss=12126.579 | avg_time=0.474s/iter | elapsed=23.7s | ETA=0.0s
Iter 50/50 | loss=12126.579 | avg_time=0.483s/iter | elapsed=24.2s | ETA=0.0s
Iter 1/100 | loss=15506.497 | avg_time=0.354s/iter | elapsed=0.4s | ETA=35.1s
Iter 10/100 | loss=14642.332 | avg_time=0.466s/iter | elapsed=4.7s | ETA=42.0s
Iter 20/100 | loss=13833.919 | avg_time=0.468s/iter | elapsed=9.4s | ETA=37.4s
Iter 30/100 | loss=13181.892 | avg_time=0.469s/iter | elapsed=14.1s | ETA=32.8s
Iter 40/100 | loss=12615.023 | avg_time=0.47s/iter | elapsed=18.8s | ETA=28.2s
Iter 50/100 | loss=12126.579 | avg_time=0.472s/iter | elapsed=23.6s | ETA=23.6s
Iter 60/100 | loss=11707.95 | avg_time=0.472s/iter | elapsed=28.3s | ETA=18.9s
Iter 70/100 | loss=11331.508 | avg_time=0.473s/iter | elapsed=33.1s | ETA=14.2s
Iter 80/100 | loss=10990.239 | avg_time=0.474s/iter | elapsed=37.9s | ETA=9.5s
Iter 90/100 | loss=10682.526 | avg_time=0.475s/iter | elapsed=42.7s | ETA=4.7s
Iter 100/100 | loss=10394.589 | avg_time=0.475s/iter | elapsed=47.5s | ETA=0.0s
Iter 100/100 | loss=10394.589 | avg_time=0.48s/iter | elapsed=48.0s | ETA=0.0s
Iter 1/150 | loss=15506.497 | avg_time=0.356s/iter | elapsed=0.4s | ETA=53.0s
Iter 10/150 | loss=14642.332 | avg_time=0.465s/iter | elapsed=4.7s | ETA=65.1s
Iter 20/150 | loss=13833.919 | avg_time=0.468s/iter | elapsed=9.4s | ETA=60.9s
Iter 30/150 | loss=13181.892 | avg_time=0.469s/iter | elapsed=14.1s | ETA=56.3s
Iter 40/150 | loss=12615.023 | avg_time=0.471s/iter | elapsed=18.8s | ETA=51.8s
Iter 50/150 | loss=12126.579 | avg_time=0.473s/iter | elapsed=23.6s | ETA=47.3s
Iter 60/150 | loss=11707.95 | avg_time=0.472s/iter | elapsed=28.3s | ETA=42.4s
Iter 70/150 | loss=11331.508 | avg_time=0.472s/iter | elapsed=33.1s | ETA=37.8s
Iter 80/150 | loss=10990.239 | avg_time=0.473s/iter | elapsed=37.8s | ETA=33.1s
Iter 90/150 | loss=10682.526 | avg_time=0.474s/iter | elapsed=42.7s | ETA=28.4s
Iter 100/150 | loss=10394.589 | avg_time=0.474s/iter | elapsed=47.4s | ETA=23.7s
Iter 110/150 | loss=10126.046 | avg_time=0.475s/iter | elapsed=52.3s | ETA=19.0s
